respondent Number,chocolate bought,1. buying frequency,5a) značka,5b) chuť,5c) země,5d) cena,5e) odpovědnost,5f) jiné,4. how much pay more,5. FT price,I. gender,II. Income,III. Country,region
267,A Fairtrade,e - less frequently,3,1,5,2,4,0,c) 11-30 %,70,a) male,a) no,CZ,W
268,A Fairtrade,d - once in a month,5,1,4,2,3,0,b) 1-10 %,60,b) female,c) 5000-10000 CZK,CZ,W
269,A Fairtrade,e - less frequently,0,1,0,0,0,0,c) 11-30 %,60,a) male,c) 5000-10000 CZK,Slovakia,E
270,A Fairtrade,e - less frequently,3,1,4,2,5,0,b) 1-10 %,60,b) female,e) 15000-20000,CZ,W
271,A Fairtrade,e - less frequently,3,1,5,2,4,0,c) 11-30 %,60,a) male,b) < 5 000 CZK,CZ,W
272,A Fairtrade,d - once in a month,0,1,0,0,0,0,b) 1-10 %,60,b) female,a) no,CZ,W
273,A Fairtrade,d - once in a month,4,1,3,2,5,0,c) 11-30 %,140,b) female,c) 5000-10000 CZK,CZ,W
274,A Fairtrade,b - once a week,3,1,2,4,0,0,d) 31 - 50 %,100,b) female,c) 5000-10000 CZK,CZ,W
275,A Fairtrade,e - less frequently,4,1,3,5,2,0,c) 11-30 %,60,b) female,e) 15000-20000,CZ,W
276,A Fairtrade,e - less frequently,5,2,4,1,3,0,d) 31 - 50 %,65,a) male,a) no,CZ,W
277,A Fairtrade,d - once in a month,0,1,0,0,0,0,c) 11-30 %,70,a) male,f) >20000,CZ,W
278,A Fairtrade,c - once in 2 weeks,1,1,1,1,1,qality (% of cococoa),c) 11-30 %,55,a) male,a) no,CZ,W
279,B normal,d - once in a month,0,1,0,0,0,0,d) 31 - 50 %,60,a) male,a) no,CZ,W
280,A Fairtrade,d - once in a month,2,1,5,3,4,0,d) 31 - 50 %,60,b) female,d) 10000-15000 CZK,CZ,W
281,A Fairtrade,c - once in 2 weeks,0,1,1,1,0,0,c) 11-30 %,50,b) female,a) no,CZ,W
282,B normal,e - less frequently,2,1,4,3,5,6,b) 1-10 %,50,a) male,a) no,Slovakia,E
283,B normal,c - once in 2 weeks,3,2,5,1,4,0,b) 1-10 %,62.5,b) female,a) no,Slovakia,E
284,A Fairtrade,c - once in 2 weeks,5,1,3,2,4,0,c) 11-30 %,100,b) female,c) 5000-10000 CZK,CZ,W
285,A Fairtrade,e - less frequently,3,1,4,2,5,0,b) 1-10 %,55,b) female,b) < 5 000 CZK,CZ,W
286,A Fairtrade,e - less frequently,3,1,4,2,5,0,c) 11-30 %,100,b) female,a) no,CZ,W
287,B normal,e - less frequently,1,0,0,0,0,0,b) 1-10 %,45,a) male,d) 10000-15000 CZK,Russia,E
288,A Fairtrade,d - once in a month,0,1,0,0,0,0,d) 31 - 50 %,70,b) female,c) 5000-10000 CZK,CZ,W
289,A Fairtrade,e - less frequently,1,1,0,0,0,0,d) 31 - 50 %,80,b) female,b) < 5 000 CZK,CZ,W
290,A Fairtrade,d - once in a month,2,3,5,1,4,0,c) 11-30 %,60,b) female,a) no,CZ,W
291,A Fairtrade,c - once in 2 weeks,3,1,5,2,4,0,c) 11-30 %,70,a) male,a) no,CZ,W
292,A Fairtrade,c - once in 2 weeks,0,1,0,0,0,0,d) 31 - 50 %,150,a) male,b) < 5 000 CZK,CZ,W
293,B normal,d - once in a month,2,1,4,3,5,0,c) 11-30 %,50,a) male,a) no,CZ,W
294,A Fairtrade,d - once in a month,2,3,5,1,4,0,c) 11-30 %,60,a) male,c) 5000-10000 CZK,CZ,W
295,A Fairtrade,e - less frequently,5,1,4,2,3,0,d) 31 - 50 %,70,b) female,c) 5000-10000 CZK,CZ,W
296,A Fairtrade,b - once a week,3,1,0,2,0,0,b) 1-10 %,60,b) female,a) no,Russia,E
297,B normal,e - less frequently,3,1,4,2,5,0,b) 1-10 %,45,b) female,a) no,CZ,W
298,B normal,d - once in a month,6,7,5,3,4,0,b) 1-10 %,0,0,0,0,0
